"Date","Price","Open","High","Low","Change %"
"Sep 26, 2017","314.750","314.750","314.750","305.250","0.00%"
"Sep 25, 2017","314.750","306.250","315.250","306.100","2.78%"
"Sep 22, 2017","306.250","306.150","314.750","305.600","-6.70%"
"Sep 21, 2017","328.250","314.750","328.250","305.250","4.29%"
"Sep 20, 2017","314.750","314.250","314.750","305.650","2.98%"
"Sep 19, 2017","305.650","306.200","325.250","305.250","-0.18%"
"Sep 18, 2017","306.200","314.750","325.250","305.250","-5.86%"
"Sep 15, 2017","325.250","314.250","325.250","305.250","6.20%"
"Sep 14, 2017","306.250","314.250","314.750","306.200","0.16%"
"Sep 13, 2017","305.750","306.200","325.250","305.750","-0.15%"
"Sep 12, 2017","306.200","306.200","325.250","305.250","0.15%"
"Sep 11, 2017","305.750","305.800","325.250","305.750","-0.15%"
"Sep 08, 2017","306.200","314.250","325.250","305.600","0.31%"
"Sep 07, 2017","305.250","314.250","314.250","305.250","-0.13%"
"Sep 06, 2017","305.650","314.250","315.250","305.250","0.13%"
"Sep 05, 2017","305.250","305.800","325.250","305.250","0.00%"
"Sep 04, 2017","305.250","0.250","0.250","0.250","0.00%"
"Sep 01, 2017","305.250","0.250","0.250","0.250","0.00%"
"Aug 31, 2017","305.250","314.750","314.750","305.250","-0.11%"
"Aug 30, 2017","305.600","305.800","314.750","305.250","0.11%"
"Aug 29, 2017","305.250","305.800","314.750","305.250","-0.26%"
"Aug 28, 2017","306.050","314.750","314.750","305.250","0.18%"
"Aug 25, 2017","305.500","306.000","314.250","305.250","-0.16%"
"Aug 24, 2017","306.000","305.800","314.750","305.250","0.25%"
"Aug 23, 2017","305.250","305.800","314.750","305.250","-0.25%"
"Aug 22, 2017","306.000","305.250","315.250","305.250","0.02%"
"Aug 21, 2017","305.950","305.800","314.750","305.250","0.16%"
"Aug 18, 2017","305.450","314.250","315.250","305.250","0.02%"
"Aug 17, 2017","305.400","314.250","315.250","305.250","0.00%"
"Aug 16, 2017","305.400","314.250","314.750","305.250","0.05%"
"Aug 15, 2017","305.250","314.250","314.750","305.250","-0.03%"
"Aug 14, 2017","305.350","314.500","315.250","301.500","-2.99%"
"Aug 11, 2017","314.750","314.000","315.250","305.000","-0.16%"
"Aug 10, 2017","315.250","305.550","315.250","305.000","0.16%"
"Aug 09, 2017","314.750","307.000","314.750","305.000","3.11%"
"Aug 08, 2017","305.250","305.550","307.250","305.000","-0.65%"
"Aug 07, 2017","307.250","307.000","307.250","305.550","-15.86%"
"Aug 04, 2017","365.180","364.800","368.500","360.000","-0.10%"
"Aug 03, 2017","365.550","365.170","367.110","360.000","0.15%"
"Aug 02, 2017","365.000","364.000","366.500","360.000","-0.27%"
"Aug 01, 2017","366.000","349.550","370.000","349.550","4.57%"
"Jul 31, 2017","350.000","304.680","367.400","304.650","14.69%"
"Jul 28, 2017","305.180","304.720","325.500","304.680","-4.57%"
"Jul 27, 2017","319.790","304.700","326.490","304.700","-0.05%"
"Jul 26, 2017","319.935","304.750","326.215","304.700","-0.14%"
"Jul 25, 2017","320.370","304.780","320.370","304.750","0.20%"
"Jul 24, 2017","319.725","304.780","325.615","304.780","4.73%"
"Jul 21, 2017","305.280","304.800","315.500","304.780","-4.71%"
"Jul 20, 2017","320.370","304.830","320.370","304.800","-1.31%"
"Jul 19, 2017","324.620","304.900","324.620","304.830","6.29%"
"Jul 18, 2017","305.400","304.850","318.680","304.850","0.02%"
"Jul 17, 2017","305.350","304.980","318.680","304.850","-0.04%"
"Jul 14, 2017","305.480","305.000","324.680","304.950","-0.01%"
"Jul 13, 2017","305.500","305.000","315.500","305.000","0.00%"
"Jul 12, 2017","305.500","324.180","324.680","304.980","-5.89%"
"Jul 11, 2017","324.605","305.000","324.605","304.950","1.48%"
"Jul 10, 2017","319.885","304.950","319.885","304.950","-1.41%"
"Jul 07, 2017","324.445","305.000","324.945","304.950","6.20%"
"Jul 06, 2017","305.500","304.950","324.680","304.900","-5.89%"
"Jul 05, 2017","324.620","304.950","324.620","304.900","6.28%"
"Jul 04, 2017","305.450","315.000","330.500","304.850","-3.11%"
"Jul 03, 2017","315.250","304.820","315.250","304.820","3.23%"
"Jun 30, 2017","305.380","304.820","315.500","304.820","0.00%"
"Jun 29, 2017","305.380","304.800","315.500","304.800","0.03%"
"Jun 28, 2017","305.300","304.820","315.500","304.800","-0.01%"
"Jun 27, 2017","305.320","304.850","315.500","304.800","-0.01%"
"Jun 26, 2017","305.350","304.800","315.500","304.780","0.02%"
"Jun 23, 2017","305.300","324.180","324.680","304.750","-5.88%"
"Jun 22, 2017","324.370","304.780","324.370","304.680","6.25%"
"Jun 21, 2017","305.280","304.680","325.100","304.680","0.00%"
"Jun 20, 2017","305.280","304.700","324.680","304.680","-5.88%"
"Jun 19, 2017","324.355","304.700","325.275","304.680","6.28%"
"Jun 16, 2017","305.200","304.680","325.100","304.650","-5.62%"
"Jun 15, 2017","323.370","304.680","325.290","304.600","-0.31%"
"Jun 14, 2017","324.370","304.600","325.290","304.550","6.32%"
"Jun 13, 2017","305.100","304.580","319.680","304.380","-4.16%"
"Jun 12, 2017","318.355","304.580","325.275","304.380","4.35%"
"Jun 09, 2017","305.080","304.550","325.100","304.380","0.01%"
"Jun 08, 2017","305.050","304.550","324.180","304.380","0.00%"
"Jun 07, 2017","305.050","304.500","324.180","304.380","0.02%"
"Jun 06, 2017","305.000","304.480","315.000","304.380","0.01%"
"Jun 05, 2017","304.980","304.380","325.100","304.250","0.03%"
"Jun 02, 2017","304.900","304.380","324.180","304.380","0.01%"
"Jun 01, 2017","304.880","317.680","325.000","304.300","0.01%"
