Date,S&P500,DJIA,DAX,FTSE100,HSI,KOSPI,NIFTY50
2009-02-13,826.840027,7850.410156,4413.390136999999,4189.600098,13554.669922,1192.439941,2948.350098
2009-02-17,789.169983,7552.600098000001,4216.600098,4034.100098,12945.400391,1127.189941,2770.5
2009-02-18,788.419983,7555.629883,4204.959961,4006.8000490000004,13016.0,1113.189941,2776.149902
2009-02-19,778.9400019999999,7465.950195,4215.209961,4018.399902,13023.360352,1107.099976,2789.350098
2009-02-20,770.049988,7365.669922,4014.6599119999996,3889.100098,12699.169922,1065.949951,2736.449951
2009-02-23,743.330017,7114.779785,3936.4499509999996,3850.6999509999996,13175.099609,1099.550049,
2009-02-24,773.1400150000001,7350.939941,3895.75,3816.399902,12798.519531,1063.880005,2733.899902
2009-02-25,764.900024,7270.890137,3846.209961,3849.0,13005.080078,1067.079956,2762.5
2009-02-26,752.830017,7182.080078,3942.6201170000004,3915.600098,12894.94043,1054.790039,2785.649902
2009-02-27,735.090027,7062.930176000001,3843.73999,3830.100098,12811.570313,1063.030029,2763.649902
2009-03-02,700.820007,6763.290039,3710.070068,3625.8000490000004,12317.459961,1018.8099980000001,2674.600098
2009-03-03,696.330017,6726.02002,3690.719971,3512.100098,12033.879883,1025.569946,2622.399902
2009-03-04,712.869995,6875.839844,3890.9399409999996,3645.899902,12331.150391,1059.26001,2645.199951
2009-03-05,682.549988,6594.439941,3695.48999,3529.899902,12211.240234,1058.180054,2576.699951
2009-03-06,683.380005,6626.939941,3666.4099119999996,3530.6999509999996,11921.519531,1055.030029,2620.149902
2009-03-09,676.530029,6547.049805,3692.030029,3542.399902,11344.580078,1071.72998,2573.149902
2009-03-10,719.599976,6926.490234000001,3886.9799799999996,3715.1999509999996,11694.049805,1092.199951,
2009-03-11,721.3599849999999,6930.399901999999,3914.100098,3693.8000490000004,11930.660156,1127.51001,
2009-03-12,750.73999,7170.060059,3956.219971,3712.100098,12001.530273,1128.390015,2617.449951
2009-03-13,756.549988,7223.97998,3953.600098,3753.6999509999996,12525.799805,1126.030029,2719.25
2009-03-16,753.8900150000001,7216.970215,4044.540039,3864.0,12976.709961,1125.459961,2777.25
2009-03-17,778.119995,7395.700195,3987.7700200000004,3857.100098,12878.089844,1163.880005,2757.449951
2009-03-18,794.349976,7486.580078,3996.320068,3805.0,13117.169922,1169.949951,2794.699951
2009-03-19,784.039978,7400.799805,4043.459961,3816.899902,13130.919922,1161.810059,2807.149902
2009-03-20,768.539978,7278.379883,4068.73999,3842.899902,12833.509766,1170.939941,2807.050049
2009-03-23,822.919983,7775.859863,4176.370117,3952.8000490000004,13447.419922,1199.5,2939.899902
2009-03-24,806.119995,7659.970215,4187.359863000001,3911.5,13910.339844,1221.699951,2938.699951
2009-03-25,813.880005,7749.810059,4223.290039,3900.3000490000004,13622.110352000002,1229.02002,2984.350098
2009-03-26,832.8599849999999,7924.560059,4259.370117,3925.1999509999996,14108.980469,1243.800049,3082.25
2009-03-27,815.9400019999999,7776.180176000001,4203.549805,3898.899902,14119.5,1237.51001,3108.649902
2009-03-30,787.530029,7522.02002,3989.2299799999996,3762.899902,13456.330078,1197.459961,2978.149902
2009-03-31,797.869995,7608.919922,4084.76001,3926.100098,13576.019531,1206.26001,3020.949951
